H,M,S,MS,Horiz,Vert,h_cA5,h_cD5,h_cA4,h_cD4,h_cA3,h_cD3,h_cA2,h_cD2,h_cA1,h_cD1,v_cA5,v_cD5,v_cA4,v_cD4,v_cA3,v_cD3,v_cA2,v_cD2,v_cA1,v_cD1
9.0,38.0,46.0,963084.0,3.7892,0.7042000000000004,5.757504713387905,8.546910498307696,7.569508602753411,8.420201367192863,10.263418950320826,3.3255014302506547,7.742368269875357,0.6666056367689068,5.330142275513622,0.1532851437156233,1.1648625774514056,1.5618172613240968,1.1790804247749023,1.6283152215927725,1.18305087036895,0.8984593256473303,1.1440122590965294,0.2329723064832248,0.9184888791870538,0.2315318352554258
9.0,38.0,46.0,963084.0,2.8348,0.5401999999999999,5.82111967281026,5.340468178437878,6.069264708548517,6.411421003668648,7.019706204069045,3.631341810500087,5.702732633470051,0.7942864832297911,4.020624688749101,0.25890079656051923,1.1400026934646075,1.200477820689685,1.143381935220861,1.0807686849952984,1.017019258512893,0.7552395154569321,0.9751177771930679,0.26145016290268247,0.7251668246487712,0.24422397707955942
9.0,39.0,39.0,163084.0,1.0764000000000002,0.5596000000000002,1.0499914846115994,0.9225114506207192,1.1144727803642,1.3300868701235313,1.2787389600041372,1.8200516990452247,1.643591689521514,1.0338803713181366,1.5059067222245797,0.13605688398975618,0.475692530672987,0.40533206072490974,0.4123441953212046,0.6570894018917802,0.5629144299256603,1.017333040349927,0.9220349951441458,0.41328068705822274,0.7363060477772061,0.21143899912080982
9.0,39.0,49.0,163084.0,0.976,0.5398,1.1564387358394554,0.9081380777917529,1.1123315039066415,1.7250008716109075,1.441569027566069,1.665085086303396,1.4652295662956472,0.8924624803522783,1.3658117235914482,0.1470350820696398,0.5519517366163555,0.3567809089786286,0.4953481374000791,0.7903095218491217,0.6837130070590197,1.0357484433878679,0.9006718735677343,0.5080682775633051,0.715816735642961,0.21799228938691267
9.0,39.0,59.0,163084.0,0.7118,0.49460000000000004,0.9292927130865989,0.9370822145435402,0.9435020794102726,1.5146167444779906,1.4134744678956483,1.439624084848231,1.2167839070543738,0.9598200983209045,0.9735821903733017,0.1375597602426192,0.571177842619713,0.3795093288665692,0.5589997883417606,0.6207328614010716,0.5099977644480281,0.9486760010062655,0.7581840651979554,0.4529457641756462,0.5955384949969743,0.2027548984135575
9.0,40.0,9.0,163084.0,0.7529999999999999,0.6806000000000001,1.5969362245456569,1.5573018917002983,1.9468456027785828,1.8634430386067735,1.8250939449470132,1.7069012739840919,1.4355512602593201,0.9402647345089521,1.068446659586879,0.15590633888109912,0.48541379954836533,0.3762135538053336,0.5315829298699483,0.8265173300236205,0.6121666975980411,1.2895730230163598,1.0770723908539535,0.4011133767621219,0.8935004590038036,0.2110752377500519
9.0,40.0,19.0,163084.0,0.8246000000000004,0.46400000000000025,1.7943001641977054,1.1407542234679824,1.503977852411674,1.3612199505747242,1.4866043623886611,1.2488527585811149,1.3817691806733008,0.7887803111058325,1.182332673181421,0.1509623068699985,0.6929193786895866,0.3339703868797327,0.651570915731893,0.5869670453053677,0.5652886120588396,0.891884193957806,0.7508553820350893,0.4127659715315957,0.6334557312975819,0.18436003366695536
9.0,40.0,29.0,163084.0,0.9795999999999998,0.4969999999999999,1.4631075004205436,1.0877845887409043,1.465375113360379,2.7378825421353765,1.7438400751638246,1.4236272377562091,1.7745708029095053,0.8381378263285078,1.3701880583412478,0.1504510069567852,0.4983165256883154,0.3259630171219321,0.5180724656333586,0.5646985389388226,0.6792892114060791,1.2288433211219016,0.7227765315565489,0.46689871192223287,0.6216504418479916,0.20680112711827237
9.0,40.0,39.0,163084.0,0.9748000000000001,0.5242000000000001,1.5323561850106624,1.052935757959766,1.4632455585567086,1.7204117639633338,1.5177904352099698,1.2994464950788427,1.6299336768628379,0.7773855346247334,1.3524256693207675,0.14673660890570844,0.6789909229817683,0.38634172188361215,0.5643842657835068,0.7128292035795214,0.7037947212500492,1.030576123125847,0.971901743730206,0.4880192820124865,0.6898466625917712,0.197723046156911
9.0,40.0,49.0,163084.0,0.8550000000000001,0.47900000000000026,1.65271108535446,0.8398699127034751,1.3448091098916541,1.6727098949579702,1.4659771838475664,1.4577427099997613,1.4983366167742973,0.8563536406980313,1.2229609958492615,0.14354192570274657,0.604376067193541,0.34324547908362396,0.5445948281601213,0.6960184090954125,0.5512355827456473,0.9160648679119131,0.7003732361333331,0.3886521867377958,0.6414375695037648,0.21776884061960172
